ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
TIC\_261136679\_TESS\_sector\_4,23.2215846372628,24.6042998277505,6.8085268971596,79.5044374228825,15.1686012475654,0.700459007746542,53.0898219174289,Flagged,2,0.000128,TIC_261136679_TESS_sector_4.fits
TIC\_261136679\_TESS\_sector\_55,26.7480792688313,28.3227980380818,6.10322936190859,92.360123478141,17.4292968182586,0.706871198289696,53.4661985950607,Flagged,2,0.00013,TIC_261136679_TESS_sector_55.fits
TIC\_261136679\_TESS\_sector\_36,31.2860368392861,32.467890670379,8.18516139262338,103.174144641528,20.1382539229451,0.739438806502942,55.3562536205755,Flagged,2,0.000477,TIC_261136679_TESS_sector_36.fits
KIC\_8462852\_Kepler\_quarter\_7,16.6900387766954,16.8605029403842,3.41079160689964,42.4777303381109,10.7404164759728,0.740107818377619,55.3947075891551,Flagged,2,7.8e-05,KIC_8462852_Kepler_quarter_7.fits
Kepler\_Q6,16.6900387766954,16.8605029403842,3.41079160689964,42.4777303381109,10.7404164759728,0.740107818377619,55.3947075891551,Flagged,2,6.1e-05,Kepler_Q6.fits
TIC\_261136679\_TESS\_sector\_19,30.7296373631747,32.9339414151022,8.18383723871944,101.825682013965,19.7423386917206,0.744616582311921,55.6534807908139,Flagged,2,0.000669,TIC_261136679_TESS_sector_19.fits
Kepler\_1625,8.3058806602367,8.50035711657066,5.05694522586013,28.1640387367466,5.2758426305485,0.775927905100274,57.432304977095,Flagged,2,5.9e-05,Kepler_1625.fits
KIC\_12557548,8.68076078162285,6.88182281516063,2.14854343386709,18.2764172786756,5.50337202064546,0.78131717278571,57.7353075361372,Flagged,2,0.055858,KIC_12557548.fits
KIC\_8462852\_Kepler\_quarter\_11,11.9095700800361,12.2078616742836,4.01932268945834,39.3369965321693,7.54865099591224,0.781950229977667,57.7708399353125,Flagged,2,8.2e-05,KIC_8462852_Kepler_quarter_11.fits
Kepler\_Q9,11.9095700800361,12.2078616742836,4.01932268945834,39.3369965321693,7.54865099591224,0.781950229977667,57.7708399353125,Flagged,2,7.3e-05,Kepler_Q9.fits
WD\_1145+017,6.01213136667184,25.6906775467063,2.78331101518353,6.02428725432073,3.80560112457945,0.785701299501596,57.9811222947393,Flagged,2,6e-05,WD_1145+017.fits
